Unknown BHRC,Un. PGA(cm/s/s),Latitude,Longitude,Epicentral Distance_x,MW_x,Epicentral Distance_y,MW_y,Depth,Effective duration (s) L,Effective duration (s)  V,Effective duration (s)  T,Vs30 (m/s),Fault Type_SS,Observed horizontal peak ground acceleration
2,25,34.5,59.95,72,5.2,23,5.0,14,9.79,8.75,9.9,1334.0,0,23
2,12,27.88,57.78,59,4.8,25,5.0,10,11.18,10.04,11.33,784.5901639344262,1,32
2,23,32.88,47.72,53,5.5,18,4.9,14,11.26,17.15,12.32,752.0,0,85
1,12,36.83,49.22,26,4.2,15,4.0,10,7.18,7.35,5.0,776.0,1,16
1,26,31.47,56.75,25,5.0,23,4.8,2,12.26,17.64,11.24,881.0,0,18
1,30,28.66,51.56,49,4.8,9,5.5,22,5.66,7.6,5.74,428.0,1,182
2,113,36.34,58.92,30,5.2,6,4.3,10,7.3,6.06,6.96,784.5901639344262,1,51
2,16,36.38,52.74,36,4.9,20,4.3,14,9.43,9.62,8.96,320.0,1,33
2,24,36.61,56.76,31,5.2,29,5.4,10,10.78,13.66,16.1,566.0,1,61
2,21,30.03,57.58,28,4.9,25,4.2,16,4.34,4.84,2.03,883.0,0,12
6,10,27.8,57.79,102,5.6,19,4.1,14,3.42,9.11,4.1,621.0,0,28
1,101,30.96,51.31,16,4.9,11,5.0,3,1.87,2.89,2.41,700.0,1,227
3,30,30.0,51.19,38,5.2,33,4.9,9,3.9,6.59,3.43,784.5901639344262,1,100
3,83,28.18,58.97,18,5.0,16,4.5,10,5.6,5.34,5.34,398.0,1,49
7,11,28.17,58.99,57,4.7,9,4.4,8,3.73,2.77,2.1,398.0,1,79
7,42,28.15,59.0,47,6.1,5,4.7,16,7.34,9.48,6.86,784.5901639344262,1,79
1,14,30.23,51.68,61,5.2,7,4.6,10,4.44,5.32,4.31,971.0,1,79
1,17,30.17,51.74,48,5.0,7,4.8,18,12.45,14.57,12.08,821.0,0,52
3,14,30.16,51.7,55,5.4,21,4.9,20,7.44,8.46,8.37,617.0,0,61
3,23,30.18,51.66,32,4.6,11,4.3,20,5.7,6.38,6.76,784.5901639344262,0,33
3,14,30.19,51.66,44,4.5,14,4.2,16,5.6,7.21,7.2,784.5901639344262,0,27
5,77,28.32,59.19,83,6.5,53,6.1,9,19.09,23.95,15.52,795.0,1,81
1,35,30.21,51.64,33,4.9,52,4.8,10,18.38,21.74,19.16,1472.0,1,21
3,11,28.21,52.62,114,5.4,23,5.8,7,4.19,4.92,2.61,784.5901639344262,1,595
3,13,27.16,53.92,44,5.9,25,4.4,12,3.76,6.48,4.93,784.5901639344262,1,50
2,18,29.42,51.65,46,5.1,4,4.6,10,0.96,2.78,1.76,484.0,0,135
1,18,35.05,46.93,70,5.1,189,7.3,18,25.74,31.3,38.99,863.0,0,26
